name;essround;edition;proddate;idno;cntry;dweight;pspwght;pweight;anweight;prob;stratum;psu;trstprl;trstlgl;trstplc;trstplt;trstprt;rlgdnase;gndr;agea;edlvdse
ESS10SCe03_1;10;03.янв;02.11.2023;13430;SE;1;1.5023389;0.3734804;0.56109416;0.00072224496;2557;24693;8;8;8;7;8;6666;2;39;9
ESS10SCe03_1;10;03.янв;02.11.2023;13451;SE;1;0.9656696;0.3734804;0.36065868;0.00072224496;2564;26622;6;2;5;4;4;6666;2;26;5
ESS10SCe03_1;10;03.янв;02.11.2023;13482;SE;1;1.1788555;0.3734804;0.44027945;0.00072224496;2562;26330;7;9;7;5;7;2;1;50;13
ESS10SCe03_1;10;03.янв;02.11.2023;13483;SE;1;1.3567085;0.3734804;0.50670403;0.00072224496;2558;25105;8;9;9;5;5;2;1;39;7
ESS10SCe03_1;10;03.янв;02.11.2023;13485;SE;1;1.665556;0.3734804;0.62205255;0.00072224496;2560;25644;5;5;1;1;5;6666;2;16;3
ESS10SCe03_1;10;03.янв;02.11.2023;13492;SE;1;0.81680244;0.3734804;0.3050597;0.00072224496;2557;24469;9;8;8;7;7;6666;2;68;18
ESS10SCe03_1;10;03.янв;02.11.2023;13495;SE;1;0.7595822;0.3734804;0.28368908;0.00072224496;2561;25740;8;10;8;5;5;2;1;83;8
ESS10SCe03_1;10;03.янв;02.11.2023;13521;SE;1;0.5406385;0.3734804;0.20191789;0.00072224496;2558;26259;7;6;8;5;4;6666;2;64;9
ESS10SCe03_1;10;03.янв;02.11.2023;13535;SE;1;1.150684;0.3734804;0.42975792;0.00072224496;2563;26452;5;7;8;5;3;2;1;41;5
ESS10SCe03_1;10;03.янв;02.11.2023;13536;SE;1;1.4731821;0.3734804;0.55020463;0.00072224496;2561;25984;3;8;8;1;1;6666;1;40;7
ESS10SCe03_1;10;03.янв;02.11.2023;13542;SE;1;2.570156;0.3734804;0.95990294;0.00072224496;2557;24712;7;9;8;5;4;4;1;38;3
ESS10SCe03_1;10;03.янв;02.11.2023;13544;SE;1;0.5331174;0.3734804;0.19910891;0.00072224496;2561;25800;7;8;8;7;7;2;2;73;3
ESS10SCe03_1;10;03.янв;02.11.2023;13568;SE;1;0.58686215;0.3734804;0.21918152;0.00072224496;2560;25352;7;4;8;9;5;6666;1;90;15
ESS10SCe03_1;10;03.янв;02.11.2023;13577;SE;1;1.5244571;0.3734804;0.5693549;0.00072224496;2561;25990;0;2;5;0;0;6666;2;37;7
ESS10SCe03_1;10;03.янв;02.11.2023;13656;SE;1;1.0630027;0.3734804;0.39701068;0.00072224496;2561;26067;9;9;9;9;7;6666;2;21;5
ESS10SCe03_1;10;03.янв;02.11.2023;13670;SE;1;0.9961043;0.3734804;0.37202543;0.00072224496;2558;26272;10;10;10;10;10;6666;2;49;17
ESS10SCe03_1;10;03.янв;02.11.2023;13710;SE;1;0.69952786;0.3734804;0.26125994;0.00072224496;2558;25036;5;7;9;2;1;6666;1;73;9
ESS10SCe03_1;10;03.янв;02.11.2023;13737;SE;1;0.7595822;0.3734804;0.28368908;0.00072224496;2561;25692;7;7;7;4;6;6666;1;55;6
ESS10SCe03_1;10;03.янв;02.11.2023;13741;SE;1;0.5785348;0.3734804;0.21607141;0.00072224496;2557;24387;10;10;9;8;8;2;2;78;9
ESS10SCe03_1;10;03.янв;02.11.2023;13746;SE;1;0.74856144;0.3734804;0.27957302;0.00072224496;2557;24467;7;9;9;4;6;6666;1;68;9
ESS10SCe03_1;10;03.янв;02.11.2023;13805;SE;1;1.0678949;0.3734804;0.39883783;0.00072224496;2562;26409;7;0;8;0;1;6666;2;23;7
ESS10SCe03_1;10;03.янв;02.11.2023;13817;SE;1;0.5331174;0.3734804;0.19910891;0.00072224496;2561;25821;6;10;10;8;2;6666;2;70;3
ESS10SCe03_1;10;03.янв;02.11.2023;13868;SE;1;1.4811814;0.3734804;0.55319226;0.00072224496;2564;26616;0;10;10;0;0;6666;1;33;7
ESS10SCe03_1;10;03.янв;02.11.2023;13875;SE;1;0.5478794;0.3734804;0.20462222;0.00072224496;2560;25387;2;2;4;2;2;6666;2;76;3
